Domain,IP,ASN,Company,Flag,Added,Details,Service Ticket,Reported to ICANN
dgs.ca.gov,,,,No,2022-09-27 15:26:00.000,,,
artcmr.com,,,,No,2022-09-28 14:24:00.000,,,
johnvicencio.com,,,,No,2022-10-07 11:13:00.000,,,
ucsd.edu,,,,No,2022-10-14 00:21:00.000,,,
cdcr.ca.gov,,,,No,2022-10-21 08:17:00.000,,,
freedombranding.com,,,,No,2022-10-22 17:18:00.000,,,
email.com,,,,No,2022-10-24 14:00:00.000,,,
googlemail.com,,,,No,2022-10-24 21:17:00.000,,,
sweetbyholly.com,,,,No,2022-10-25 08:16:00.000,,,
lplfinancial.com,,,,No,2022-10-25 16:08:00.000,,,
llu.edu,,,,No,2022-10-26 20:44:00.000,,,
cepheid.com,,,,No,2022-10-28 13:32:00.000,,,
holderusa.com,,,,No,2022-10-28 15:26:00.000,,,
naturaldividends.org,,,,No,2022-10-29 20:23:00.000,,,
humboldt.edu,,,,No,2022-11-02 12:44:00.000,,,
g.ucla.edu,,,,No,2022-11-02 16:32:00.000,,,
muroc.k12.ca.us,,,,No,2022-11-10 20:51:00.000,,,
intercoms.net,,,,No,2022-11-12 19:24:00.000,,,
yahoomail.com,,,,No,2022-11-17 14:02:00.000,,,
aliyun.com,,,,No,2022-11-17 15:51:00.000,,,
yahoo.fr,,,,No,2022-11-18 05:15:00.000,,,
gamil.com,,,,No,2022-11-20 02:19:00.000,,,
mail.ee,,,,No,2022-11-22 10:14:00.000,,,
apu.edu,,,,No,2022-11-24 23:18:00.000,,,
tgillian.com,,,,No,2022-11-25 16:35:00.000,,,
univoip.com,,,,No,2022-11-28 11:45:00.000,,,
my.scccd.edu,,,,No,2022-11-28 12:14:00.000,,,
lincolnucasf.edu,,,,No,2022-11-28 23:07:00.000,,,
sjsu.edu,,,,No,2022-11-29 00:59:00.000,,,
mailbox.org,,,,No,2022-11-29 07:53:00.000,,,
mail.fresnostate.edu,,,,No,2022-11-29 09:06:00.000,,,
mail.con,,,,No,2022-12-03 14:48:00.000,,,
nathanyeung.com,,,,No,2022-12-03 21:49:00.000,,,
phd.sccgov.org,,,,No,2022-12-04 09:20:00.000,,,
uw.edu,,,,No,2022-12-04 15:58:00.000,,,
yahoo.co.uk,,,,No,2022-12-08 15:49:00.000,,,
seinc.com,,,,No,2022-12-12 16:08:00.000,,,
go.yccd.edu,,,,No,2022-12-17 05:50:00.000,,,
sonic.net,,,,No,2022-12-20 16:06:00.000,,,
richardchsu.com,,,,No,2023-01-01 08:22:00.000,,,
lasierra.edu,,,,No,2023-01-04 14:21:00.000,,,
ppnorcal.org,,,,No,2023-01-05 14:48:00.000,,,
musician.org,,,,No,2023-01-06 01:49:00.000,,,
labretore.com,,,,No,2023-01-06 09:04:00.000,,,
theimaginationengineer.com,,,,No,2023-01-06 10:35:00.000,,,
mitrafamily.us,,,,No,2023-01-09 13:05:00.000,,,
twc.com,,,,No,2023-01-09 16:23:00.000,,,
tlht.us,,,,No,2023-01-09 17:25:00.000,,,
insite.4cd.edu,,,,No,2023-01-17 19:51:00.000,,,
yahoo.es,,,,No,2023-01-23 12:16:00.000,,,
sfsu.edu,,,,No,2023-01-28 14:02:00.000,,,
umich.edu,,,,No,2023-01-30 18:22:00.000,,,
sausd.us,,,,No,2023-01-31 17:20:00.000,,,
mail.usf.edu,,,,No,2023-02-02 13:55:00.000,,,
fitnyc.edu,,,,No,2023-02-03 19:00:00.000,,,
bitwiseindustries.com,,,,No,2023-02-08 16:23:00.000,,,
myyahoo.com,,,,No,2023-02-10 17:24:00.000,,,
techie.com,,,,No,2023-02-10 23:00:00.000,,,
emulawsome.info,,,,No,2023-02-11 14:00:00.000,,,
zohomail.com,,,,No,2023-02-13 12:46:00.000,,,
thewaybacksd.org,,,,No,2023-02-13 15:43:00.000,,,
childrensinstitute.org,,,,No,2023-02-14 10:34:00.000,,,
stu.mylusd.org,,,,No,2023-02-14 12:03:00.000,,,
ohio.edu,,,,No,2023-02-15 17:37:00.000,,,
emuhsd.org,,,,No,2023-02-16 08:57:00.000,,,
sandiego.edu,,,,No,2023-02-20 15:01:00.000,,,
lausd.net,,,,No,2023-02-27 10:21:00.000,,,
craftonhills.edu,,,,No,2023-02-27 13:33:00.000,,,
yahoo.com.tw,,,,No,2023-02-27 13:57:00.000,,,
cougars.csusm.edu,,,,No,2023-03-06 13:37:00.000,,,
cpp.edu,,,,No,2023-03-07 10:43:00.000,,,
omm.com,,,,No,2023-03-08 19:03:00.000,,,
cccco.edu,,,,No,2023-03-10 16:49:00.000,,,
students.deltacollege.edu,,,,No,2023-03-13 15:46:00.000,,,
callingmarijane.com,,,,No,2023-03-14 23:45:00.000,,,
jreiter.org,,,,No,2023-03-21 16:13:00.000,,,
madecreates.com,,,,No,2023-03-30 17:02:00.000,,,
workmail.com,,,,No,2023-03-31 23:51:00.000,,,
strategicdynamicsllc.com,,,,No,2023-04-03 08:54:00.000,,,
21stce.com,,,,No,2023-04-06 02:21:00.000,,,
noce.edu,,,,No,2023-04-06 10:55:00.000,,,
vsolvit.com,,,,No,2023-04-07 11:16:00.000,,,
jasonkelly.net,,,,No,2023-04-09 17:56:00.000,,,
mailfence.com,,,,No,2023-04-10 07:24:00.000,,,
careindeed.com,,,,No,2023-04-10 10:27:00.000,,,
chaffey.edu,,,,No,2023-04-11 10:39:00.000,,,
matthew-salerno.com,,,,No,2023-04-15 09:15:00.000,,,
yahoo.ca,,,,No,2023-04-17 10:39:00.000,,,
godoy.cc,,,,No,2023-04-17 12:17:00.000,,,
wescom.org,,,,No,2023-04-19 13:44:00.000,,,
berkeleycap.com,,,,No,2023-04-21 15:04:00.000,,,
prografx.com,,,,No,2023-04-24 14:48:00.000,,,
lotztechnology.com,,,,No,2023-04-24 20:47:00.000,,,
students.solano.edu,,,,No,2023-04-25 12:22:00.000,,,
paradigmmethod.com,,,,No,2023-04-26 10:13:00.000,,,
